SampleID,Ecotype,Location,Type,Location2,PR,pH,Ecotype2,pHPR,Sobs,Shannon,Faith
ND1-P6-S,Dry,ND1-S,Soil,ND1,8.73,7.5,Dry-S,1.164,408,8.238945579,41.84340387
NE1-P1-S,Mesic,NE1-S,Soil,NE1,11.5,7.7,Mesic-S,1.493506494,541,8.681603034,51.3064479
NE1-P2-S,Mesic,NE1-S,Soil,NE1,11.5,7.7,Mesic-S,1.493506494,433,8.377372772,42.63694932
NE1-P3-S,Mesic,NE1-S,Soil,NE1,11.5,7.7,Mesic-S,1.493506494,640,8.975384057,53.69216722
NE1-P4-S,Mesic,NE1-S,Soil,NE1,11.5,7.7,Mesic-S,1.493506494,588,8.848294932,48.29758407
NE1-P5-S,Mesic,NE1-S,Soil,NE1,11.5,7.7,Mesic-S,1.493506494,512,8.655349705,46.00769851
NE1-P6-S,Mesic,NE1-S,Soil,NE1,11.5,7.7,Mesic-S,1.493506494,374,8.178997845,38.8030336
NE2-P1-S,Dry,NE2-S,Soil,NE2,9.72,6.9,Dry-S,1.408695652,322,7.948923513,34.79314432
NE2-P2-S,Dry,NE2-S,Soil,NE2,9.72,6.9,Dry-S,1.408695652,384,8.233571595,37.99646346
NE2-P3-S,Dry,NE2-S,Soil,NE2,9.72,6.9,Dry-S,1.408695652,398,8.249565542,39.76606659
NE2-P4-S,Dry,NE2-S,Soil,NE2,9.72,6.9,Dry-S,1.408695652,443,8.436662482,41.44902794
NE2-P5-S,Dry,NE2-S,Soil,NE2,9.72,6.9,Dry-S,1.408695652,403,8.344516742,36.2574902
NE2-P6-S,Dry,NE2-S,Soil,NE2,9.72,6.9,Dry-S,1.408695652,529,8.69192288,48.58439825
NM1-P1-S,Dry,NM1-S,Soil,NM1,6.7,7.1,Dry-S,0.943661972,425,8.33185411,41.93407236
NM1-P2-S,Dry,NM1-S,Soil,NM1,6.7,7.1,Dry-S,0.943661972,461,8.444136306,43.42782285
NM1-P3-S,Dry,NM1-S,Soil,NM1,6.7,7.1,Dry-S,0.943661972,431,8.285210845,47.56717353
NM1-P4-S,Dry,NM1-S,Soil,NM1,6.7,7.1,Dry-S,0.943661972,421,8.20440789,37.86147475
NM1-P5-S,Dry,NM1-S,Soil,NM1,6.7,7.1,Dry-S,0.943661972,486,8.519077988,42.94638274
NM1-P6-S,Dry,NM1-S,Soil,NM1,6.7,7.1,Dry-S,0.943661972,423,8.345164376,41.75919575
OK1-P1-S,Dry,OK1-S,Soil,OK1,10,5.9,Dry-S,1.694915254,431,8.287313578,47.72560356
OK1-P2-S,Dry,OK1-S,Soil,OK1,10,5.9,Dry-S,1.694915254,498,8.501826082,53.94545048
OK1-P3-S,Dry,OK1-S,Soil,OK1,10,5.9,Dry-S,1.694915254,430,8.294771243,46.25111645
OK1-P4-S,Dry,OK1-S,Soil,OK1,10,5.9,Dry-S,1.694915254,394,8.182811328,44.6156197
OK1-P5-S,Dry,OK1-S,Soil,OK1,10,5.9,Dry-S,1.694915254,354,8.037295756,42.71672614
OK1-P6-S,Dry,OK1-S,Soil,OK1,10,5.9,Dry-S,1.694915254,494,8.458690276,52.10025218
SC1-P1-S,Wet,SC1-S,Soil,SC1,14.1,6.5,Wet-S,2.169230769,536,8.619445614,59.58526247
SC1-P2-S,Wet,SC1-S,Soil,SC1,14.1,6.5,Wet-S,2.169230769,537,8.651437192,55.14954175
SC1-P3-S,Wet,SC1-S,Soil,SC1,14.1,6.5,Wet-S,2.169230769,504,8.609194294,51.5859688
SC1-P4-S,Wet,SC1-S,Soil,SC1,14.1,6.5,Wet-S,2.169230769,480,8.496679193,51.72701719
SC1-P5-S,Wet,SC1-S,Soil,SC1,14.1,6.5,Wet-S,2.169230769,603,8.839840703,60.87588254
SC1-P6-S,Wet,SC1-S,Soil,SC1,14.1,6.5,Wet-S,2.169230769,478,8.51746644,48.41168263
SD1-P1-S,Dry,SD1-S,Soil,SD1,7.08,7.9,Dry-S,0.896202532,419,8.254120077,44.7688363
SD1-P2-S,Dry,SD1-S,Soil,SD1,7.08,7.9,Dry-S,0.896202532,406,8.222649877,42.4891943
SD1-P3-S,Dry,SD1-S,Soil,SD1,7.08,7.9,Dry-S,0.896202532,NA,NA,NA
SD1-P4-S,Dry,SD1-S,Soil,SD1,7.08,7.9,Dry-S,0.896202532,NA,NA,NA
SD1-P5-S,Dry,SD1-S,Soil,SD1,7.08,7.9,Dry-S,0.896202532,321,7.906189646,35.5813767
SD1-P6-S,Dry,SD1-S,Soil,SD1,7.08,7.9,Dry-S,0.896202532,NA,NA,NA
TX1-P1-S,Wet,TX1-S,Soil,TX1,15,6,Wet-S,2.5,NA,NA,NA
TX1-P2-S,Wet,TX1-S,Soil,TX1,15,6,Wet-S,2.5,NA,NA,NA
TX1-P3-S,Wet,TX1-S,Soil,TX1,15,6,Wet-S,2.5,NA,NA,NA
TX1-P4-S,Wet,TX1-S,Soil,TX1,15,6,Wet-S,2.5,NA,NA,NA
TX1-P5-S,Wet,TX1-S,Soil,TX1,15,6,Wet-S,2.5,425,8.2945538,46.90436838
TX1-P6-S,Wet,TX1-S,Soil,TX1,15,6,Wet-S,2.5,922,9.429149264,80.1751503
TX2-P1-S,Wet,TX2-S,Soil,TX2,17.2,5.9,Wet-S,2.915254237,378,8.143537098,36.0393473
TX2-P2-S,Wet,TX2-S,Soil,TX2,17.2,5.9,Wet-S,2.915254237,381,8.127473751,40.7550612
TX2-P3-S,Wet,TX2-S,Soil,TX2,17.2,5.9,Wet-S,2.915254237,458,8.382018688,42.10400494
TX2-P4-S,Wet,TX2-S,Soil,TX2,17.2,5.9,Wet-S,2.915254237,422,8.298983797,50.44807697
TX2-P5-S,Wet,TX2-S,Soil,TX2,17.2,5.9,Wet-S,2.915254237,374,8.142338917,44.09010091
TX2-P6-S,Wet,TX2-S,Soil,TX2,17.2,5.9,Wet-S,2.915254237,417,8.312173539,43.288956
TX3-P1-S,Dry,TX3-S,Soil,TX3,12.5,7.5,Dry-S,1.666666667,457,8.460207692,45.29811606
TX3-P2-S,Dry,TX3-S,Soil,TX3,12.5,7.5,Dry-S,1.666666667,554,8.737221172,52.50345797
TX3-P3-S,Dry,TX3-S,Soil,TX3,12.5,7.5,Dry-S,1.666666667,481,8.511472714,49.90165024
TX3-P4-S,Dry,TX3-S,Soil,TX3,12.5,7.5,Dry-S,1.666666667,447,8.391803822,46.41844055
TX3-P5-S,Dry,TX3-S,Soil,TX3,12.5,7.5,Dry-S,1.666666667,553,8.800352819,48.823119
TX3-P6-S,Dry,TX3-S,Soil,TX3,12.5,7.5,Dry-S,1.666666667,581,8.80153463,54.40389055
WI1-P1-S,Wet,WI1-S,Soil,WI1,11.7,5.8,Wet-S,2.017241379,389,8.238928565,42.25936437
WI1-P2-S,Wet,WI1-S,Soil,WI1,11.7,5.8,Wet-S,2.017241379,404,8.239869152,43.95219043
WI1-P3-S,Wet,WI1-S,Soil,WI1,11.7,5.8,Wet-S,2.017241379,481,8.53315896,47.71679842
WI1-P4-S,Wet,WI1-S,Soil,WI1,11.7,5.8,Wet-S,2.017241379,393,8.280977028,37.47059359
WI1-P5-S,Wet,WI1-S,Soil,WI1,11.7,5.8,Wet-S,2.017241379,637,8.990434224,52.08553585
