index,Ecotype,Location,Lat,Long,Sobs,Shannon,Faith
NE1-P5-S1-16s_S119,Mesic,NE1,40.86996,-96.805849,512,8.655349705,46.00769851
NE1-P6-S1-16s_S120,Mesic,NE1,40.86996,-96.805849,374,8.178997845,38.8030336
NE2-P1-S1-16s_S133,Dry,NE2,42.7529,-98.0659,322,7.948923513,34.79314432
NE2-P2-S1-16s_S134,Dry,NE2,42.7529,-98.0659,384,8.233571595,37.99646346
NE2-P3-S1-16s_S135,Dry,NE2,42.7529,-98.0659,398,8.249565542,39.76606659
NE2-P4-S1-16s_S136,Dry,NE2,42.7529,-98.0659,443,8.436662482,41.44902794
NE2-P5-S1-16s_S137,Dry,NE2,42.7529,-98.0659,403,8.344516742,36.2574902
NE2-P6-S1-16s_S138,Dry,NE2,42.7529,-98.0659,529,8.69192288,48.58439825
NM1-P1-S1-16s_S36,Dry,NM,36.583429,-103.14577,425,8.33185411,41.93407236
NM1-P2-S1-16s_S37,Dry,NM,36.583429,-103.14577,461,8.444136306,43.42782285
NM1-P3-S1-16s_S38,Dry,NM,36.583429,-103.14577,431,8.285210845,47.56717353
NM1-P4-S1-16s_S39,Dry,NM,36.583429,-103.14577,421,8.20440789,37.86147475
NM1-P5-S1-16s_S40,Dry,NM,36.583429,-103.14577,486,8.519077988,42.94638274
NM1-P6-S1-16s_S41,Dry,NM,36.583429,-103.14577,423,8.345164376,41.75919575
OK1-P1-S2-16s_S48,Dry,OK,35.748514,-99.71402,431,8.287313578,47.72560356
OK1-P2-S2-16s_S49,Dry,OK,35.748514,-99.71402,498,8.501826082,53.94545048
OK1-P3-S1-16s_S50,Dry,OK,35.748514,-99.71402,430,8.294771243,46.25111645
OK1-P4-S1-16s_S51,Dry,OK,35.748514,-99.71402,394,8.182811328,44.6156197
OK1-P5-S1-16s_S52,Dry,OK,35.748514,-99.71402,354,8.037295756,42.71672614
OK1-P6-S1-16s_S53,Dry,OK,35.748514,-99.71402,494,8.458690276,52.10025218
SC1-P1-S1-16s_S97,Wet,SC,34.6880135,-80.13046,536,8.619445614,59.58526247
SC1-P2-S1-16s_S98,Wet,SC,34.6880135,-80.13046,537,8.651437192,55.14954175
SC1-P3-S1-16s_S99,Wet,SC,34.6880135,-80.13046,504,8.609194294,51.5859688
SC1-P4-S1-16s_S100,Wet,SC,34.6880135,-80.13046,480,8.496679193,51.72701719
SC1-P5-S1-16s_S101,Wet,SC,34.6880135,-80.13046,603,8.839840703,60.87588254
SC1-P6-S1-16s_S102,Wet,SC,34.6880135,-80.13046,478,8.51746644,48.41168263
SD1-P1-S1-16s_S121,Dry,SD,45.102916,-103.07941,419,8.254120077,44.7688363
SD1-P2-S1-16s_S122,Dry,SD,45.102916,-103.07941,406,8.222649877,42.4891943
SD1-P3-S1-16s_S123,Dry,SD,45.102916,-103.07941,NA,NA,NA
SD1-P4-S1-16s_S124,Dry,SD,45.102916,-103.07941,NA,NA,NA
