SubjectID1,SubjectID2,Group1,Group2,Distance,Group3,PR_Difference,PR_ABS
MO1-P5-S1-16s_S95,KS1-P1-S1-16s_S109,MO1,KS1,0.925466667,MO1KS1,0,0
MO1-P5-S1-16s_S95,KS1-P4-S1-16s_S112,MO1,KS1,0.905133333,MO1KS1,0,0
MO1-P5-S1-16s_S95,KS1-P5-S1-16s_S113,MO1,KS1,0.917866667,MO1KS1,0,0
MO1-P5-S1-16s_S95,KS1-P6-S1-16s_S114,MO1,KS1,0.903733333,MO1KS1,0,0
MO1-P5-S1-16s_S95,KS2-P2-S1-16s_S128,MO1,KS2,0.9788,MO1KS2,3.59,3.59
MO1-P5-S1-16s_S95,KS2-P3-S1-16s_S129,MO1,KS2,0.990133333,MO1KS2,3.59,3.59
MO1-P5-S1-16s_S95,KS2-P4-S1-16s_S130,MO1,KS2,0.9896,MO1KS2,3.59,3.59
MO1-P5-S1-16s_S95,KS2-P5-S1-16s_S131,MO1,KS2,0.989733333,MO1KS2,3.59,3.59
MO1-P5-S1-16s_S95,LA1-P1-S1-16s_S54,MO1,LA1,0.922066667,MO1LA1,-3.9,3.9
MO1-P5-S1-16s_S95,LA1-P2-S1-16s_S55,MO1,LA1,0.908333333,MO1LA1,-3.9,3.9
MO1-P5-S1-16s_S95,LA1-P3-S1-16s_S56,MO1,LA1,0.94,MO1LA1,-3.9,3.9
MO1-P5-S1-16s_S95,LA1-P5-S2-16s_S58,MO1,LA1,0.947333333,MO1LA1,-3.9,3.9
MO1-P5-S1-16s_S95,MI1-P1-S1-16s_S7,MO1,MI1,0.965666667,MO1MI1,1.7,1.7
MO1-P5-S1-16s_S95,MI1-P2-S1-16s_S8,MO1,MI1,0.967933333,MO1MI1,1.7,1.7
MO1-P5-S1-16s_S95,MI1-P3-S1-16s_S9,MO1,MI1,0.936133333,MO1MI1,1.7,1.7
MO1-P5-S1-16s_S95,MI1-P4-S1-16s_S10,MO1,MI1,0.971933333,MO1MI1,1.7,1.7
MO1-P5-S1-16s_S95,MI1-P5-S2-16s_S11,MO1,MI1,0.952933333,MO1MI1,1.7,1.7
MO1-P5-S1-16s_S95,MI1-P6-S2-16s_S12,MO1,MI1,0.9804,MO1MI1,1.7,1.7
MO1-P5-S1-16s_S95,MN1-P1-S1-16s_S151,MO1,MN1,0.990333333,MO1MN1,3.09,3.09
MO1-P5-S1-16s_S95,MN1-P2-S1-16s_S152,MO1,MN1,0.975533333,MO1MN1,3.09,3.09
MO1-P5-S1-16s_S95,MN1-P3-S1-16s_S153,MO1,MN1,0.989666667,MO1MN1,3.09,3.09
MO1-P5-S1-16s_S95,MN1-P4-S1-16s_S154,MO1,MN1,0.978933333,MO1MN1,3.09,3.09
MO1-P5-S1-16s_S95,MN1-P5-S1-16s_S155,MO1,MN1,0.9832,MO1MN1,3.09,3.09
MO1-P5-S1-16s_S95,MN1-P6-S1-16s_S156,MO1,MN1,0.981533333,MO1MN1,3.09,3.09
MO1-P5-S1-16s_S95,MS1-P4-S1-16s_S33,MO1,MS1,0.922,MO1MS1,-4.5,4.5
MO1-P5-S1-16s_S95,MS1-P5-S1-16s_S34,MO1,MS1,0.932066667,MO1MS1,-4.5,4.5
MO1-P5-S1-16s_S95,MS1-P6-S1-16s_S35,MO1,MS1,0.94,MO1MS1,-4.5,4.5
MO1-P5-S1-16s_S95,MT1-P1-S1-16s_S139,MO1,MT1,0.979733333,MO1MT1,5.72,5.72
MO1-P5-S1-16s_S95,MT1-P2-S1-16s_S140,MO1,MT1,0.9726,MO1MT1,5.72,5.72
MO1-P5-S1-16s_S95,MT1-P3-S1-16s_S141,MO1,MT1,0.975733333,MO1MT1,5.72,5.72
MO1-P5-S1-16s_S95,MT1-P4-S1-16s_S142,MO1,MT1,0.981733333,MO1MT1,5.72,5.72
MO1-P5-S1-16s_S95,MT1-P5-S1-16s_S143,MO1,MT1,0.977533333,MO1MT1,5.72,5.72
MO1-P5-S1-16s_S95,MT1-P6-S1-16s_S144,MO1,MT1,0.971733333,MO1MT1,5.72,5.72
MO1-P5-S1-16s_S95,NC1-P1-S1-16s_S66,MO1,NC1,0.911533333,MO1NC1,-0.5,0.5
MO1-P5-S1-16s_S95,NC1-P2-S1-16s_S67,MO1,NC1,0.903533333,MO1NC1,-0.5,0.5
MO1-P5-S1-16s_S95,NC1-P3-S1-16s_S68,MO1,NC1,0.895,MO1NC1,-0.5,0.5
MO1-P5-S1-16s_S95,NC1-P4-S1-16s_S69,MO1,NC1,0.889066667,MO1NC1,-0.5,0.5
MO1-P5-S1-16s_S95,NC1-P5-S1-16s_S70,MO1,NC1,0.9112,MO1NC1,-0.5,0.5
MO1-P5-S1-16s_S95,NC1-P6-S1-16s_S71,MO1,NC1,0.9238,MO1NC1,-0.5,0.5
MO1-P5-S1-16s_S95,ND1-P1-S1-16s_S145,MO1,ND1,0.987866667,MO1ND1,4.07,4.07
MO1-P5-S1-16s_S95,ND1-P2-S1-16s_S146,MO1,ND1,0.980466667,MO1ND1,4.07,4.07
MO1-P5-S1-16s_S95,ND1-P3-S1-16s_S147,MO1,ND1,0.9846,MO1ND1,4.07,4.07
MO1-P5-S1-16s_S95,ND1-P4-S1-16s_S148,MO1,ND1,0.988466667,MO1ND1,4.07,4.07
MO1-P5-S1-16s_S95,ND1-P5-S1-16s_S149,MO1,ND1,0.996933333,MO1ND1,4.07,4.07
MO1-P5-S1-16s_S95,ND1-P6-S1-16s_S150,MO1,ND1,0.988066667,MO1ND1,4.07,4.07
MO1-P5-S1-16s_S95,NE1-P1-S1-16s_S115,MO1,NE1,0.923466667,MO1NE1,1.3,1.3
MO1-P5-S1-16s_S95,NE1-P2-S1-16s_S116,MO1,NE1,0.918933333,MO1NE1,1.3,1.3
MO1-P5-S1-16s_S95,NE1-P3-S1-16s_S117,MO1,NE1,0.920933333,MO1NE1,1.3,1.3
