SampleID,Ecotype,Location,Lat,Long,Faith,Shannon ,Sobs
TX1-P3_S59,Wet,TX1,33.736177,-95.98353,67.35040456,8.607458377,575
TX1-P4_S60,Wet,TX1,33.736177,-95.98353,64.21385816,8.415091444,506
TX1-P5_S61,Wet,TX1,33.736177,-95.98353,85.96456443,8.828217681,649
TX1-P6_S62,Wet,TX1,33.736177,-95.98353,64.97513342,8.478799379,525
TX2-P1_S69,Wet,TX2,29.383001,-95.04062,64.79120739,8.738617032,704
TX2-P2_S70,Wet,TX2,29.383001,-95.04062,45.6829101,7.232979809,464
TX2-P3_S71,Wet,TX2,29.383001,-95.04062,58.38848905,9.053855843,756
TX2-P4_S72,Wet,TX2,29.383001,-95.04062,58.16753954,8.739397859,586
TX2-P5_S73,Wet,TX2,29.383001,-95.04062,65.87115413,8.342948921,668
TX2-P6_S74,Wet,TX2,29.383001,-95.04062,70.32749176,9.04444453,765
TX3-P1_S81,Dry,TX3,31.04998,-97.350096,67.22486031,8.662471945,732
TX3-P2_S82,Dry,TX3,31.04998,-97.350096,80.93242036,9.205510999,897
TX3-P3_S83,Dry,TX3,31.04998,-97.350096,74.34188037,9.12717976,797
TX3-P4_S84,Dry,TX3,31.04998,-97.350096,68.84615219,8.65003457,706
TX3-P5_S85,Dry,TX3,31.04998,-97.350096,81.93475233,9.159508272,871
TX3-P6_S86,Dry,TX3,31.04998,-97.350096,72.08427314,8.855530137,774
WI1-P2_S20,Wet,WI,-97.3501,-88.628068,72.60292861,9.244013474,834
WI1-P3_S3,Wet,WI,-97.3501,-88.628068,75.25930894,8.905728182,666
WI1-P4_S4,Wet,WI,-97.3501,-88.628068,60.51353118,9.246376879,774
WI1-P5_S21,Wet,WI,-97.3501,-88.628068,67.77240811,9.153346248,752
WI1-P6_S22,Wet,WI,-97.3501,-88.628068,72.2389513,9.196756458,770
