SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
OK1-P3_S50,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.69,OK1
OK1-P4_S51,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.69,OK1
OK1-P5_S52,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.69,OK1
OK1-P6_S53,OK,Dry,5.9,6.6,6,65,0.16,3.53,21.6,16,64,20,35.748514,-99.71402,10,1.69,OK1
SC1-P1_S92,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.17,SC1
SC1-P2_S93,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.17,SC1
SC1-P3_S94,SC,Wet,6.5,6.9,6,307,0.32,4.39,13.9,26,59,15,34.6880135,-80.13046,14.1,2.17,SC1
SC1-P4_S95,SC,Wet,7.9,7.5,8,187,0.26,3.44,13,50,35,15,34.6880135,-80.13046,14.1,1.78,SC1
SC1-P5_S96,SC,Wet,7.9,7.5,8,187,0.26,3.44,13,50,35,15,34.6880135,-80.13046,14.1,1.78,SC1
SC1-P6_S97,SC,Wet,7.9,7.5,8,187,0.26,3.44,13,50,35,15,34.6880135,-80.13046,14.1,1.78,SC1
SD1-P1_S115,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.9,SD1
SD1-P2_S116,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.9,SD1
SD1-P3_S117,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.9,SD1
SD1-P4_S118,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.9,SD1
SD1-P5_S119,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.9,SD1
SD1-P6_S120,SD,Dry,7.9,7.5,8,187,0.26,3.44,13,50,35,15,45.102916,-103.07941,7.08,0.9,SD1
TX1-P1_S57,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.98353,15,2.5,TX1
TX1-P2_S58,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.98353,15,2.5,TX1
TX1-P3_S59,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.98353,15,2.5,TX1
TX1-P4_S60,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.98353,15,2.5,TX1
TX1-P5_S61,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.98353,15,2.5,TX1
TX1-P6_S62,TX1,Wet,6,7.1,4,45,0.13,0.99,7.8,60,36,4,33.736177,-95.98353,15,2.5,TX1
TX2-P1_S69,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.04062,17.2,2.92,TX2
TX2-P2_S70,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.04062,17.2,2.92,TX2
TX2-P3_S71,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.04062,17.2,2.92,TX2
TX2-P4_S72,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.04062,17.2,2.92,TX2
TX2-P5_S73,TX2,Wet,5.9,6.4,5,251,0.34,4.97,14.7,11,37,51,29.383001,-95.04062,17.2,2.92,TX2
