"ASV","Comparison","t_stat","p_value"
"Fusobacteriota","Wet-Soil vs. Dry-Soil",NA,NA
"Fusobacteriota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Fusobacteriota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Fusobacteriota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Fusobacteriota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Thermoplasmatota","Wet-Soil vs. Dry-Soil",NA,NA
"Thermoplasmatota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Thermoplasmatota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Thermoplasmatota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Thermoplasmatota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",0.943355964494064,0.370030342236337
"Margulisbacteria","Wet-Soil vs. Dry-Soil",NA,NA
"Margulisbacteria","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Margulisbacteria","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Margulisbacteria","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Margulisbacteria","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",NA,NA
"Crenarchaeota","Wet-Soil vs. Dry-Soil",NA,NA
"Crenarchaeota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Crenarchaeota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Crenarchaeota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
"Crenarchaeota","Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil",4.46900745092148,0.000191857983091905
"Armatimonadota","Wet-Soil vs. Dry-Soil",NA,NA
"Armatimonadota","Wet-Rhizobiome vs. Dry-Rhizobiome",NA,NA
"Armatimonadota","Dry-Soil vs. Dry-Rhizobiome",NA,NA
"Armatimonadota","Wet-Soil vs. Wet-Rhizobiome",NA,NA
