SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
ND1-P3-S1-16s_S147,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.392912,-97.300701,8.73,1.164,ND1
ND1-P4-S1-16s_S148,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.392912,-97.300701,8.73,1.164,ND1
ND1-P5-S1-16s_S149,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.392912,-97.300701,8.73,1.164,ND1
ND1-P6-S1-16s_S150,ND,Dry,7.5,7.4,8,301,0.26,4.71,18.4,64,24,12,46.392912,-97.300701,8.73,1.164,ND1
NE1-P1-S1-16s_S115,NE1,Mesic,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.869959,-96.805849,11.5,1.493506494,NE1
NE1-P2-S1-16s_S116,NE1,Mesic,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.869959,-96.805849,11.5,1.493506494,NE1
NE1-P3-S1-16s_S117,NE1,Mesic,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.869959,-96.805849,11.5,1.493506494,NE1
NE1-P4-S1-16s_S118,NE1,Mesic,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.869959,-96.805849,11.5,1.493506494,NE1
NE1-P5-S1-16s_S119,NE1,Mesic,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.869959,-96.805849,11.5,1.493506494,NE1
NE1-P6-S1-16s_S120,NE1,Mesic,7.7,7.5,17,550,0.3,4.24,13.9,22,59,19,40.869959,-96.805849,11.5,1.493506494,NE1
NE2-P1-S1-16s_S133,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.408695652,NE2
NE2-P2-S1-16s_S134,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.408695652,NE2
NE2-P3-S1-16s_S135,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.408695652,NE2
NE2-P4-S1-16s_S136,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.408695652,NE2
NE2-P5-S1-16s_S137,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.408695652,NE2
NE2-P6-S1-16s_S138,NE2,Dry,6.9,7.2,6,373,0.33,4.67,14.1,20,32,48,42.7529,-98.0659,9.72,1.408695652,NE2
