ASV,Comparison,t_stat,p_value,Log2_Fold_Change
Armatimonadota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Armatimonadota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Armatimonadota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Armatimonadota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Bdellovibrionota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Bdellovibrionota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Bdellovibrionota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Crenarchaeota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Crenarchaeota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Crenarchaeota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Crenarchaeota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Dadabacteria,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Dadabacteria,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Dadabacteria,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Dadabacteria,Wet-Soil vs. Dry-Soil,NA,NA,NA
Dadabacteria,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Deferrisomatota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Deferrisomatota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Deferrisomatota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Deferrisomatota,Wet-Soil vs. Dry-Soil,NA,NA,NA
Deferrisomatota,Wet-Soil vs. Wet-Rhizobiome,NA,NA,NA
Deinococcota,Dry-Soil vs. Dry-Rhizobiome,NA,NA,NA
Deinococcota,Wet-Rhizobiome vs. Dry-Rhizobiome,NA,NA,NA
Deinococcota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,NA,NA,NA
Deinococcota,Wet-Soil vs. Dry-Soil,NA,NA,NA
